,"C&Y Global, Inc. / Pro Metal Recycling ",,,,,,,,,,
,,,,,,,,,,,
,16745 S. Lathrop Ave,,,DATE:,,10/14/2025,,,,,
,"Harvey,  IL 60426",,,COMEX DECEMBER:,, $5.010 ,,,,,
,,,,REQUISITIONER:,,  Jimmy 312-952-6489 ,,,,,
,,,,           ,,,,,,,
,,,,,,,,,,,
NON-FERROUS METALS,,,,,,(LBS),,,,,
,,,,,,,,,,,
ALUMINUM PRODUCT,,,,RADIATOR PRODUCT,,,,,,,
AL 6061, NEW BARE EXTRUSION PREPARED, $0.970 ,,A/C REEFER,CLEAN TALK BALED , $2.350 ,,,,,
AL 6061,CLIP/PLATE/PIPE PREPARED, $0.950 ,,A/C REEFER,CLEAN UNBALED, $2.330 ,,,,,
AL 6063,SECONDARY PREPARED, $0.900 ,,A/C REEFER,DIRTY TALK BALED, $2.210 ,,,,,
AL 6063,OLD EXTRUSION PREPARED, $1.350 ,,A/C REEFER,DIRTY UNBALED, $2.190 ,,,,,
AL 6063,EXTRUSION 10/10 PREPARED, $1.190 ,,RADIATOR,"CLEAN, CAR RADIATOR", $2.830 ,,,,,
AL PAS,BALED, $0.800 ,,CU BKG,AC REEFER END, $1.520 ,,,,,
AL CAST,CLEAN, $0.750 ,,,,,,,,,
AL RADS,CLEAN /BALED, $0.700 ,,COPPER PRODUCT,,,,,,,
AL RADS,DIRTY/BALED, $0.440 ,,CU BB,BARLEY, $4.490 ,,,,,
AL SHEET ,CLEAN /BALED, $0.770 ,,CU#1,BERRY & CANDY, $4.340 ,,,,,
AL WHEEL AUTO,CLEAN (Dirty 2 cents less), $1.100 ,,CU#2,BIRCH & CLIFF, $4.190 ,,,,,
AL WHEEL CHROME,CLEAN (Dirty 2 cents less), $0.830 ,,CU#3,SHEET COPPER , $4.030 ,,,,,
TRUCK WHEEL ,CLEAN, $0.810 ,,BRASS PRODUCT,,,,,,,
AL WIRE,BARE CATV, $0.430 ,,BRASS HARD,SOLID CLEAN, $3.890 ,,,,,
AL WIRE,NEOPRENE & ACSR 68% PREPARED, $0.850 ,,BRASS RED,EBONY, $3.670 ,,,,,
AL WIRE ,EC WIRE PREPARED, $1.300 ,,BRASS RED,SEMI RED, $3.200 ,,,,,
AL MLC ,Mix Low Copper sheet/plate/clip solid PREPARED, $0.900 ,,BRASS SHAVING,"AL BRONZE SHAVING, C/D", $3.590 ,,,,,
,,,,BRASS SHAVING,"BRASS RED SHAVING, C/D", $3.080 ,,,,,
AUTO COIL,,,,BRASS SHAVING,"BRASS YELLOW SHAVING, C/D", $2.570 ,,,,,
AUTO COIL-AL STARTER,AL NOSE, $0.640 ,,BRASS SHELL,CLEAN NO CHROME, $2.890 ,,,,,
AUTO COIL-TRUCK STARTER,"FE NOSE, TRUCK STARTER", $0.590 ,,BRASS SPECIAL,AL BRONZE SOLID, $3.200 ,,,,,
AUTO COIL-ALTERNATOR,NO BUS ALTERNATOR, $0.870 ,,BRASS YELLOW REGULAR,SOLID CLEAN, $2.840 ,,,,,
AUTO COIL-AUTO COMPRESSOR,NO STEEL CASE & HOSE, $0.540 ,,,,,,,,,
,,,,MISC PRDOUCT,,,,,,,
INSULATED WIRE,,,,BALLAST,ELECTRONIC BALLAST, $0.210 ,,,,,
ICW LOW GRADE,CHRISTMAS LIGHTS, $0.720 ,,BALLAST,REGULAR, $0.350 ,,,,,
ICW LOW GRADE,COMPUTER WIRE 25%, $0.850 ,,BATTERY AUTO,PB-ACID BATTERY, $0.290 ,,,,,
ICW LOW GRADE,CU CATV  , $1.460 ,,BATTERY STEEL CASE,BATTERY STEEL CASE INDUSTRIAL, $0.250 ,,,,,
ICW LOW GRADE,EXT. CORDS 35% UP, $1.260 ,,COMPRESSOR,"SEALED UNIT BOXED, NO CAST IRON CASE", $0.400 ,,,,,
ICW LOW GRADE,MIXED WIRE 40% UP , $1.540 ,,E MOTOR LOW GRADE,CELLING FAN MOTORS, $0.170 ,,,,,
ICW#1,"HELIAX 57%, OPEN EYE/BALED", $2.330 ,,E MOTOR MIX,"NO PUMPS, POWER TOOLS, CEILING FANS. ", $0.450 ,,,,,
ICW#1,MCM 85% HG, $3.650 ,,E MOTOR LARGE,"BIG, BUT LESS THAN 1000 POUNDS", $0.400 ,,,,,
ICW#1,"Romex 65%, No weather proof.", $2.760 ,,TRANSFORMER,TRANSFORMER ALU LARGE ONLY, $0.200 ,,,,,
ICW#1,THHN80%, $3.460 ,,TRANSFORMER CU,AL/CU , $0.350 ,,,,,
ICW#2,"50%& CAT5, TEL WIRE", $1.960 ,,TRANSFORMER CU,CU SMALL (PALM SIZE), $0.740 ,,,,,
ICW#2,HARNESS WIRE NO FUSE BOXES 50%, $2.000 ,,TRANSFORMER CU,MEDIUM (MORE THAN 200LBS), $0.790 ,,,,,
ICW#2-BX CABLE,AL, $2.390 ,,TRANSFORMER CU ,LARGE  , $0.850 ,,,,,
ICW#2-BX CABLE,"FE, 24%", $0.870 ,,ZINC,ZINC/DIE CAST, $0.900 ,,,,,
,,,,,,,,,,,
LEAD PRODUCT,,,,STAINLESS STEEL PRODUCT,,,,,,,
LEAD CLEAN,CLEAN, $0.780 ,,SS 304,SS 304 PREPARED, $0.450 ,,,,,
LEAD RANGE,RANGE LEAD INDOOR, $0.770 ,,SS 316,SOLID CLEAN PREPARED , $0.940 ,,,,,
LEAD WHEEL WEIGHT,WHEEL WEIGHT, $0.210 ,,,,,,,,,
,,,,,,,,,,,
FERROUS METALS,,,,,,,,,,,
MANGANESE STEEL,,,,,,,,,,,
ROTORS / DRUMS,,,,,,,,,,,
H-13,,,,,,,,,,,
,,,,,,,,,,,
E SCRAPS,,,,,,,,,,,
,,,,,,,,,,,
